Customer_ID(NK),Customer_Name,Addr1,Addr2,City,State,Zip,Customer_Type
1,Haynes,"2920 Auctor Rd."," ",Moraga,AZ,70314,Edu
2,"Rudyard Knapp","9261 Nulla St."," ","Sault Ste Marie",LA,94298,State
3,"Baxter May","796-2366 Vel Ave."," ",Meriden,FL,58328,Comm
4,"Maya Brewer","PO Box 825 6836 At Rd."," ","Union City",ND,82051,State
5,"Mullins Inc.","4009 Ornare Rd."," ",Birmingham,NE,59509,State
6,"Raphael Allison","734-2598 Sed Ave."," ","La Crosse",HI,58702,Comm
7,"Martin Donaldson","2704 At Rd."," ",Gardner,GA,31421,Edu
8,"Gemma Castro","9101 Duis St."," ",Passaic,VT,40926,Govt
9,"The Product Co. (East)","20021 Barnes Rd."," ",Stratford,NY,13470,Comm
10,"Hammett Farley","1668 In St."," ",Yonkers,AK,18651,State
11,"Austin Ferrell","8666 Justo Rd."," ",Pullman,PA,55979,Comm
12,Cain,"1116 Augue St."," ",Warwick,DC,38450,State
13,Knight,"765 Eget Ave."," ",Eureka,FL,57500,Govt
14,Serrano,"7212 Eleifend St."," ",Princeton,KY,66785,Comm
15,"Colton Maldonado","1869 Leo Rd."," ","Cedar Rapids",SD,97640,Comm
16,Googol,"5453 Dictum Ave."," ",Jenks,LA,96393,Comm
17,"Mallory Lynch","974 Nisl Rd."," ",Washington,ME,15623,Govt
18,"Melvin House","8371 Nullam Rd."," ","Isle of Palms",ME,89644,Edu
19,"Emerson Electric Co.","1792 Squash Dr."," ","South Texarkana",TX,75501,Edu
20,"Pewter Gym","9028 Non St."," ",Sandy,FL,87202,Comm
21,"Hop Adams","704 Nisl Rd."," ","Sun Valley",NH,84458,Edu
22,"Xavier Harmon","2285 Ante St."," ",Farmington,WV,16456,Edu
23,Cross,"112 In Rd."," ",Opelousas,GA,43882,Govt
24,"Martinez Disposables","5331 Nunc Ave."," ",Tucson,DC,79991,Govt
25,Atkins,"4607 Risus Rd."," ",Waukegan,NC,43147,State
26,"Dakota Mills","7442 Amet Ave."," ",Syracuse,DE,56656,Govt
27,"Clare Baird","6152 Auctor Rd."," ",Wilson,MS,29338,Comm
28,"Schultz Learning","8542 Quis St."," ",Spartanburg,ND,73217,Edu
29,Blevins,"2571 Donec Ave."," ",Winooski,SD,65512,Comm
30,"Knox Reid","500 Eu Ave."," ","Pass Christian",WY,35949,Comm
31,"Starfleet Academy","3061 Donec Ave."," ",Canandaigua,UT,75963,Edu
32,"Ferengi Treasures","716-6837 Vulputate Ave."," ",Paramount,NY,35644,Comm
33,Tallulah,"3376 Aliquet St."," ",Batavia,NM,50742,Comm
34,"The Product Co. (West)","21 E Bullard Ave."," ",Fresno,CA,93710,Comm
35,"Ann Lee","3845 Nunc Rd."," ",Merizo,GA,10764,Govt
36,"Kuame Barnes","8757 Tincidunt Rd."," ",Lahaina,RI,60529,Govt
37,"Beverly Equip.","7581 Quisque St."," ",Bloomington,HI,88440,State
38,"Firstfed America Bancorp Inc.","5656 Settler St."," ","Ward Prairie",TX,75840,Edu
39,"Ronan French","8773 Feugiat Rd."," ",Gary,WA,17387,Edu
40,"Zena Machines","1277 Hendrerit Ave."," ","San Juan",WA,07066,State
